address,share
itc1qhrcyjvvn3t6t9l0d0cxy2dm8dd2acr57sfgdxs,26
itc1q9zyve4fkvx02k8mmtmmwjn0xga9kf2z922te9g,100
itc1qpqfzgdrlhh000l3dhfmkkyzhs3ge0fvx6qg2ej,14
itc1qwyxxj4xd4reejyljcg9zgnj497e2hd5lhr5mz7,100
itc1qxs8w928xhdkfpgj846n9p6el30pzk3c8cjzp9x,15
itc1qf8drthjqcydd8ld4e9e3tpgtykh7xcwxahzf44,42
itc1qmhdcnjvpjm7yw0fm7pv7tvh4ls7ljqkxmcsrz2,43
itc1qxdxx075yvu7d9qkg92z3zqjvvnavuhgd4ku9jz,43
itc1qe369kz875wy2eyrtke0xq0walnnd4lx525k7ur,100
itc1qkv0c6nfcu38yr4nc0q4xgk3dct0ddumwmh90cl,11
itc1qcxhp52p39nm96l3na4ms7ehcd93exra622ncaa,1
itc1qarj65zgfq6kywpnnyzmad467q3jmwcvn36xrky,31
itc1qnaqqnuggu87laxfnhvggej0wun8q5phas7sdp8,35
itc1qpymvacr9d52a0ygfrww3eahwzwn25fx9zdf4es,45
itc1qfxtm57kky0hu3natpjgch8mmdh8q2unwdafh3k,16
itc1qnj0usj6j05ss92txwet5uq0lxqy9n0dccffw7h,33
itc1q634hv4ht63nw2gt0e336stjcn26udk3r09dvuk,5
itc1q4r30rpl4d6fm9gn3dwuc0qprr2nhq9sau85354,11
itc1qjmy9tw53pv9ac73224y3rfjclwq7khlu375ema,21
itc1qg38yk6j3ak2vkfmd7qa0zakdhy0pg8hcc5kppv,28
itc1qlcfkzvqhygenejjp5yfgdpuqflm6c0g4fx89eu,40
itc1qfad8wt3zdyv6kpcxtyqwrl36e88katc6uk8q3e,4
itc1q6l33vsq7v5uuh060me8427we80jtauuvuctrvg,100
itc1qj29me3rxtpvwlq2y22gmhp6tldpakezd70ct4f,17
itc1qfkv5ezr6yy5y27tu2hqtlf0k9krr4c38fd0wrv,100
itc1qdtxd6w3mtmqvwlekg2ft2xu0lgqexmgalln4tc,42
ITC1QWULPJ2DL3ZDL6ZATWAZPVM7TZ5SQLFXHYMTCQU,49
itc1qafxzrkj72pe522dzkt0x89z8l38k4068nts977,7
itc1q97s8ggngn25gh5kpuk2y58k6yqtu7u52sgvl9v,44
itc1qpsmdhd5g8l9j0dqct3d636trq68j8ewr3eqtsx,9
itc1qs3nefa7czsealdclxlml6zm29j9q4wwxd3dxtu,10
itc1qle8dqy32z578th4jq25dls7czvtnu8ltcpnr9y,42
itc1qd8hxa5dpeejldjzh680px0eyze8wn34j8ws2hl,29
itc1qnhlcr2vcjg2n7mrxmfmtl4gqy0ey0ss6qweee8,20
itc1q5mwwhy2z329wc9002q9wd8wahge6wgxrdsud6u,19
itc1q8udxrl6nqrsv09hg3z6hcgjxk4vup9su09kwzp,45
itc1qdn0l73fha6gl06j7846wjvjwdpg9tl0kwr7hj3,1
itc1qxweh5hf8pul6xqnx76wteg5snkke2e5ahdqnv0,7
itc1qpwgvmr24xpp4vuasxmeqhqepdvdm567x9sl7se,10
itc1qq346glpzzlaufvcuqj349z8v0pg4gyv4t8g70u,44
itc1q2l02tq486zctfm6s2jnrulwsxeqacwx5dz2drf,6
itc1qu7uhaljgsasjn3yu90yqm83zzxtvne9qxna66v,47
itc1qj7y9mrd72hh7sj0n72yu00mwxkja5vjc7rsspg,40
itc1qldqse0khzl88l0ycygzmgktpaheumls7n7yzzy,38
itc1qt2ujx7wh2dmh0quk63cj0jkd9ep4r69lsrrtdy,9
itc1qrmsz4jutzg6j38z4m20kz0whvs3k3lalvs47sc,35
itc1qc949ep2qah8x7030yedk6ku0ua0zs03w5xndug,7
itc1qv699pauv49drsm4h2djfdcrqd4ahzhg5h9mxs2,35
itc1qyhgdquutrq22syhyswxjuxlffhnqpuf2njneq5,29
itc1q9ar8vtar5na8qwld4layelyqca2z833xxwn5jk,8
itc1qjd4uke2g0hyq56t59hgfextzz2lfj5zfmumuh2,23
ITC1QXNCZ8HKG6TMPXGAG58W4TWYMCZNL49W3PZ5RJL,42
itc1qa3yltyr7ssdct3tmtq88vprcaud9axjpn8yggv,50
itc1q0ter9cqv8fheuyhwflaqzfs83k75pvzvz49uju,19
itc1qsw5rxfah4wpmpn5a7mxmvxxxu8mkrkdecdwp57,20
itc1qvtej7e4ux8nv9dca826qys28eclpxwk42k3au2,100
itc1q06j8763amt6hsc2yt66amq935v9j7ng47j3dcd,49
itc1qlzmw5ucfajvrahjdn2j2w8cvwrdk9gvcy5rstq,17
itc1qsvnw8vtv975qwka247pxvxd620rngajfmg5tyh,16
itc1q9hjt08dg46la7g87w8uh5luqtd87rvsdmckfph,38
itc1qtzdkjkcy3lrnetydltdkuv53pp8a0gksynnk2d,44
itc1q9pxsxeucaq7l33c3xrqx4e85mlz29apmml7kyt,22
itc1qwtqtkddlqh7jp504re5cvjcdxsu9ukx579k326,31
itc1qxx0cn0psq2vwqzkteg05w6qw9x4cqetvjgrfcu,50
ITC1QHC5Q9AS47W4KSEKUVW5ZSZDDVT8VWP0GFQT656,7
itc1qjh93wy5zh86wmzsqedrmg67v90fu29ndlstfak,29
itc1qhuv2uvutjpnq0sfq3dhl4ym4jvf6gnldkwx7zt,38
"itc1qhuv2uvutjpnq0sfq3dhl4ym4jvf6gnldkwx7zt
",34
itc1qyjp02a05d5sxhn0km7n3e733eyjq59nwarmumv,47
itc1qeq3ktul608l9x9kxt0de6meexcp5gvl7m84twp,42
itc1qhkkp5m0747rvqgx4aw3yuau26r88wh5gdzxqwc,29
itc1qrqnkeaf9rccygtcm5j9umavw8tzcqags0ujcaq,28
itc1qdx6yu69weu88du4c26s0gmxynyk44aclj29qnh,28
itc1q5e2vfzkn5stp7pk6fa6fpr8tt82a4kj5eatqyd,8
itc1q8wj5fueuege4mnnd496plutx8hl22rrc6ncdh2,24
itc1qfj33zgelkl55tpqgxljryx6fgt432mp0qfpg87,9
itc1q7tlny6pgmlgkpnvvz0sgfqx5eyh3tk222t7nk5,16
itc1qg5fwxpu08d74rqs80z7nyzt86wlgytuc9s9dwq,19
itc1qnaqyauhx33qltqvu8jls3c8hrxww79x02m4kp9,43
itc1qrx5ewuf0cqhxr57pdar25wcg8us22f45y997ec,100
itc1q86439g8dmfmewulj4vyekphm383tf7csa5f0z5,13
itc1q55h5qsur3y5wxq02x83p6pcsvsxkudec8pw8f8,100
itc1q4qtkcma8hj55p55ajwm0d4ny7fvpw7k98mrs3x,20
itc1qmqhlx930ruekzs9vdw7vh4c7g782udtzwydpqd,14
itc1qgrkw5glxa34vf3j0lw5et4pdp57nj0rwz886tt,37
itc1qh3gwnrj9s076ths60xvfd6gk9h7f4gjnhfsyy5,18
itc1qkdt83845v7uek7w3c3msdyst3vlv2pe8v0r682,46
itc1qk88d3g4n8pw4vku9qkvrccuwqm90svhlzyzxvh,20
itc1q0yyn6tu6le3xj4rv8ntgwj0p97t2raae3cgeul,50
itc1qssnghl0uv4vjuruzammm4h7e0n3nws3rmq8dwl,20
